"playerID","yearID","Batting_Games","Batting_At_Bats","Batting_Doubles","Batting_Triples","Batting_Homeruns","Batting_Runs_Batted_In","Batting_Stolen_Bases","Batting_Caught_Steading","Batting_Base_on_Balls","Batting_Strikeouts","Batting_Intentional_walks","Batting_Hit_by_pitch","Batting_Sacrifice_hits","Batting_Sacrifice_flies","Batting_Grounded_into_double_plays","Pitching_Wins","Pitching_Losses","Pitching_Games","Pitching_Games_Started","Pitching_Complete_Games","Pitching_Shutouts","Pitching_Saves","Pitching_Outs_Pitched","Pitching_Hits","inducted"
"aaronha01",1982,3298,12364,624,98,755,2297,240,73,1402,1383,293,32,21,121,328,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y"
"abbotji01",2005,263,21,0,0,0,3,0,0,0,10,0,0,3,0,1,87,108,263,254,31,6,0,5022,1779,"N"
"adamsba01",1937,482,1019,31,15,3,75,1,1,53,177,0,1,35,0,0,194,140,482,355,206,44,15,8986,2841,"N"
"adamsba01",1938,482,1019,31,15,3,75,1,1,53,177,0,1,35,0,0,194,140,482,355,206,44,15,8986,2841,"N"
"adamsba01",1939,482,1019,31,15,3,75,1,1,53,177,0,1,35,0,0,194,140,482,355,206,44,15,8986,2841,"N"
"adamsba01",1942,482,1019,31,15,3,75,1,1,53,177,0,1,35,0,0,194,140,482,355,206,44,15,8986,2841,"N"
"adamsba01",1945,482,1019,31,15,3,75,1,1,53,177,0,1,35,0,0,194,140,482,355,206,44,15,8986,2841,"N"
"adamsba01",1946,482,1019,31,15,3,75,1,1,53,177,0,1,35,0,0,194,140,482,355,206,44,15,8986,2841,"N"
"adamsba01",1947,482,1019,31,15,3,75,1,1,53,177,0,1,35,0,0,194,140,482,355,206,44,15,8986,2841,"N"
"adamsba01",1948,482,1019,31,15,3,75,1,1,53,177,0,1,35,0,0,194,140,482,355,206,44,15,8986,2841,"N"
"adamsba01",1949,482,1019,31,15,3,75,1,1,53,177,0,1,35,0,0,194,140,482,355,206,44,15,8986,2841,"N"
"adamsba01",1950,482,1019,31,15,3,75,1,1,53,177,0,1,35,0,0,194,140,482,355,206,44,15,8986,2841,"N"
